Epoch,Generator Loss,Discriminator Loss
0,-0.05731714889407158,-0.08950059115886688
1,-0.4351021945476532,-0.011450618505477905
2,-0.4019692540168762,-0.009859144687652588
3,-0.45045530796051025,0.10960525274276733
4,-0.298980712890625,-0.044823408126831055
5,-0.40196627378463745,-0.12732169032096863
6,-0.48332497477531433,0.06091916561126709
7,-0.40994590520858765,-0.040876299142837524
8,-0.6444379687309265,0.11564373970031738
9,-0.5006898045539856,-0.025258004665374756
10,-0.3562685251235962,-0.001923203468322754
11,-0.4580647945404053,0.06092989444732666
12,-0.541154146194458,-0.07907211780548096
13,-0.5616973638534546,-0.10069549083709717
14,-0.6427121162414551,0.01785576343536377
15,-0.5466909408569336,0.09358322620391846
16,-0.6555802822113037,0.051860511302948
17,-0.6134412288665771,-0.06660711765289307
18,-0.8496764898300171,-0.013095438480377197
19,-0.6860880255699158,-0.028463423252105713
20,-0.6517646908760071,-0.016194522380828857
21,-0.6238291263580322,-0.12501931190490723
22,-0.6608864068984985,-0.050466954708099365
23,-0.6717461347579956,-0.037784695625305176
24,-0.8460157513618469,-0.02306199073791504
25,-0.8462448716163635,0.03499603271484375
26,-0.6986779570579529,-0.14181578159332275
27,-0.7232012748718262,-0.04030776023864746
28,-0.7266938090324402,-0.11711663007736206
29,-0.8885663747787476,-0.10791617631912231
30,-1.0208353996276855,-0.04829221963882446
31,-0.8458587527275085,-0.06474602222442627
32,-0.819598376750946,0.06962716579437256
33,-0.9081617593765259,-0.07453060150146484
34,-1.1556025743484497,-0.10424387454986572
35,-1.1481850147247314,-0.036064743995666504
36,-1.0487923622131348,-0.04985368251800537
37,-1.0918954610824585,-0.027346014976501465
38,-0.9838564991950989,-0.06047523021697998
39,-1.1115225553512573,-0.1516362428665161
40,-1.0852106809616089,-0.0787733793258667
41,-1.0582724809646606,-0.054642677307128906
42,-1.0951709747314453,-0.10103583335876465
43,-1.1247023344039917,-0.0707247257232666
44,-1.1044974327087402,-0.10993325710296631
45,-1.1170027256011963,-0.0722116231918335
46,-1.168532371520996,-0.1701449155807495
47,-1.0907236337661743,-0.06007206439971924
48,-1.2386889457702637,-0.18080663681030273
49,-1.2302876710891724,-0.053888916969299316
50,-1.0258818864822388,-0.15620887279510498
51,-1.010621190071106,-0.04199671745300293
52,-1.1950846910476685,-0.10249388217926025
53,-1.2290252447128296,-0.12030470371246338
54,-1.235972285270691,-0.04579973220825195
55,-1.0309847593307495,-0.07170677185058594
56,-1.0758028030395508,0.07876062393188477
