Epoch,Batch,Loss
0,0,13.428411483764648
0,1,13.570305824279785
0,2,13.281365394592285
0,3,12.86445140838623
0,4,12.731277465820312
0,5,12.190062522888184
0,6,11.38449764251709
0,7,11.372243881225586
0,8,11.483160018920898
0,9,11.070039749145508
0,10,10.437533378601074
0,11,11.330330848693848
0,12,10.015098571777344
0,13,10.254268646240234
0,14,10.100654602050781
0,15,9.864520072937012
0,16,11.261879920959473
0,17,10.123298645019531
0,18,9.966468811035156
0,19,9.175912857055664
1,0,9.807196617126465
1,1,9.189774513244629
1,2,9.827823638916016
1,3,9.191141128540039
1,4,9.017694473266602
1,5,8.61726188659668
1,6,7.896688461303711
1,7,8.641919136047363
1,8,8.978168487548828
1,9,8.602132797241211
1,10,8.484525680541992
1,11,8.878223419189453
1,12,8.334315299987793
1,13,7.94743013381958
1,14,8.303939819335938
1,15,7.758531093597412
1,16,8.084403991699219
1,17,8.250747680664062
1,18,7.341681003570557
1,19,7.975993633270264
2,0,7.294266223907471
2,1,8.039491653442383
2,2,7.496739387512207
2,3,7.6435933113098145
2,4,7.183183670043945
2,5,7.073431968688965
2,6,6.842620849609375
2,7,7.3229265213012695
2,8,6.992536544799805
2,9,6.770789623260498
2,10,6.803238868713379
2,11,6.060611248016357
2,12,6.2015509605407715
2,13,6.173149108886719
2,14,5.945639610290527
2,15,6.351165771484375
2,16,6.136253356933594
2,17,6.115949630737305
2,18,6.226681709289551
2,19,5.531990051269531
3,0,5.397564888000488
3,1,5.961431503295898
3,2,5.675487518310547
3,3,5.822310924530029
3,4,5.773522853851318
3,5,5.600461006164551
3,6,5.424892902374268
3,7,5.497242450714111
3,8,5.629266738891602
3,9,5.354887962341309
3,10,5.468291282653809
3,11,5.159595966339111
3,12,5.663368225097656
3,13,5.319785118103027
3,14,5.651851654052734
3,15,5.431463718414307
3,16,5.270771026611328
3,17,5.613863945007324
3,18,5.471930503845215
3,19,5.169952392578125
4,0,5.424923896789551
4,1,5.384926795959473
4,2,5.268894672393799
4,3,5.5682268142700195
4,4,5.317376136779785
4,5,5.343239784240723
4,6,5.5110764503479
4,7,5.467364311218262
4,8,5.309386730194092
4,9,5.230308532714844
4,10,5.120272636413574
4,11,5.416774272918701
4,12,5.5970354080200195
4,13,5.292153358459473
4,14,5.179885387420654
4,15,5.196868419647217
4,16,4.969141006469727
4,17,5.279541492462158
4,18,5.558290481567383
4,19,5.54691743850708
5,0,5.389463901519775
5,1,5.106692790985107
5,2,5.030570030212402
5,3,5.266331672668457
5,4,5.256646156311035
5,5,5.3324713706970215
