x1,x2
0.7280487,4.298286
0.7896368,6.0139837
0.9231727,3.1008062
1.0988218,3.4216223
0.84286684,4.1334667
1.2864904,3.8362687
0.7492607,4.5405655
0.73790854,2.6191323
0.7513905,2.3082492
1.397953,3.5843282
1.3457599,4.100604
5.180611,1.0831995
1.2095534,2.167015
0.90546757,2.509254
0.8498131,3.554098
-0.053702313,6.6655726
4.229777,1.6940299
3.943895,1.6944304
1.1024039,2.7074423
1.4178218,1.4965049
0.95170784,3.6816096
1.1604859,3.091107
0.003499733,1.7581614
3.1670134,3.723787
10.176147,3.733191
8.059463,7.4179573
1.5056729,4.8600144
5.327469,2.1875849
5.7462564,1.611183
4.0920095,1.8531171
5.0373735,3.1416283
1.0948745,2.531883
3.5798044,3.5864766
0.9223138,3.1639304
0.7152634,4.357858
1.0861893,5.8607626
-0.00089548074,1.481606
1.2280954,2.207089
0.7896708,5.364411
1.0002083,2.0783658
8.473333,7.65276
1.1400181,2.5817664
0.016333153,3.369111
6.049365,5.5910554
-0.014365801,1.1728413
1.3373092,3.2394583
7.3340015,3.8199606
3.1574032,2.3107116
2.6283188,3.0368392
1.3991331,1.765507
1.8798283,2.0077405
5.0448575,2.1082363
3.4072545,2.27077
2.3381305,3.9284823
1.3434769,4.673403
1.1139873,4.2213006
5.702346,5.253907
0.8632768,3.5683708
9.185312,2.930972
0.9196974,3.606297
1.8449674,1.5581697
2.6332388,7.1790776
1.2369,1.8232052
7.522581,3.4502232
-0.0073064896,1.6546662
1.2992797,2.6592226
0.8033722,2.433959
2.1861928,7.2411013
1.2231928,3.390292
9.508967,7.3285003
1.183574,3.386951
1.1388419,1.9946752
1.8611722,2.236661
0.67481023,2.3451674
-0.0020475162,1.3491209
0.69091654,1.6792033
1.3750647,4.6234994
4.309385,4.1325336
8.4866085,7.3878646
2.0491974,2.188591
1.2710906,4.1610603
1.7803051,0.969584
11.359838,7.8361173
3.2500834,2.1108367
2.793427,3.2329097
1.25664,3.2796516
0.00010725686,1.6683393
3.4937284,2.748901
6.5406737,3.2269197
2.1100736,4.941715
2.1441488,6.6869926
0.9422962,2.679222
1.9748493,2.1475382
0.00062211626,1.5083897
4.4263806,5.7464566
5.881233,2.0646317
1.5031772,8.512519
1.3958287,3.2355063
5.190531,4.5381165
4.2903123,2.072641
1.3290652,3.3494637
1.6103861,2.7874525
1.7922542,2.5371966
4.548695,1.9099227
4.10798,3.0122743
1.2288978,3.400178
1.2845005,3.429225
1.4322824,3.5813887
-0.004894313,1.3570161
0.87074727,2.263172
0.74238783,2.5817873
3.146312,2.4868524
1.2816913,2.4844747
1.4262033,3.2531655
5.799673,1.4568288
5.458534,1.0624193
1.1901402,2.2577794
5.9339013,2.5615585
0.0002237877,1.6839693
2.5689936,2.9109867
-0.0042374157,1.429204
6.835801,6.021238
3.8908076,3.1162217
0.8565548,6.065103
5.332561,0.7226477
0.9369289,2.476061
1.3274256,2.4334195
2.6696975,2.7093105
0.77172965,1.4724996
0.8911505,3.7267246
1.3124002,3.6999323
1.4374846,3.5037174
5.667597,1.6153169
3.0467985,5.236602
1.4808866,3.0448747
1.0440422,1.9991157
2.6868114,7.8062735
13.014696,7.989325
3.2690182,5.249439
1.3726679,2.9714718
0.9205082,2.591254
0.8944096,2.5018353
0.97506595,2.354955
1.8868879,1.7593603
-0.0021689688,1.6286176
0.02663091,6.532471
1.7526779,1.3355217
1.3460453,5.6093826
3.6614392,3.0066512
0.97033775,2.5384011
1.2585269,3.3124897
17.149515,8.971198
1.003504,3.5840917
1.416785,2.738298
5.5474205,5.3466854
5.00672,1.989338
1.5873305,3.324927
0.88927364,3.607379
3.2423768,2.608615
0.6475732,2.2498956
1.5970095,2.8336391
1.154833,2.5069153
1.055746,1.7929592
3.4155586,2.2601092
4.8772426,2.015185
2.841545,3.8568265
0.99255204,2.5535657
5.6103816,5.169101
2.132242,4.1522555
1.8602793,3.4383812
1.2723634,1.7660117
3.6214325,1.7556279
52.797813,-0.03834559
5.595939,4.36956
2.897507,2.8463712
1.3280687,3.9070745
1.3461286,2.776902
0.88042337,3.4802792
0.9698502,2.180986
1.1372894,3.1078844
3.9012716,1.8612734
3.8627195,1.785497
1.1502848,2.704727
2.475874,1.7082368
0.0056267693,1.411712
0.91515625,3.294841
1.8316017,1.1566056
2.7233858,3.5483134
3.5557635,3.7718546
3.5025291,2.0034807
1.0681516,1.7628214
3.0461116,5.528143
0.82330006,2.6066446
0.006029812,1.4414433
0.8708712,5.9292364
0.6856652,2.1073778
0.9117048,3.488667
0.7977859,2.5460136
3.396981,2.7085676
1.1237783,2.5697541
1.409596,2.207727
1.771657,5.282652
2.2127087,2.226005
0.8107345,3.758519
1.1562885,2.2424119
2.9987562,2.401092
0.9379967,2.566395
1.47512,1.9400331
1.8570598,2.0457144
0.24568503,6.4952393
1.1039426,5.340135
0.64751774,2.6060665
17.50169,15.792107
2.0338209,4.7619543
21.970303,0.021367159
6.965109,1.9015889
1.1097121,1.7057927
2.8819144,2.942445
1.4317507,3.7400453
1.0456432,2.5029905
5.1841965,3.6873055
1.2146802,3.5602057
5.357903,0.95461184
8.153593,6.5932674
-0.0076643876,1.5921755
1.0080348,2.3111417
2.8731725,9.715129
